שכונה,קוד שכונה,רחוב,סמל רחוב
כרם אברהם,332,ישראל אהרון פישל,103
כרם אברהם,332,מיכה,309
כרם אברהם,332,מלאכי,304
כרם אברהם,332,מלכי ישראל,305
כרם אברהם,332,נחום,312
כרם אברהם,332,נחמיה,313
כרם אברהם,332,עובדיה,318
כרם אברהם,332,עזרא,126
כרם אברהם,332,עמוס,311
כרם אברהם,332,צפניה,303
מאה שערים,336,אבן יהושע,184
מאה שערים,336,אברהם מסלונים,189
מאה שערים,336,אמת ליעקב,179
מאה שערים,336,בלכר,168
מאה שערים,336,בני ברית,403
מאה שערים,336,בעל התניא,165
מאה שערים,336,בתי ורשה,182
מאה שערים,336,הומינר,265
מאה שערים,336,הכנסת אורחים,171
מאה שערים,336,הרב שמואל סלנט,173
מאה שערים,336,חברת משניות,170
מאה שערים,336,חברת ש''ס,167
מאה שערים,336,חברת תהילים,166
מאה שערים,336,חוני המעגל,176
מאה שערים,336,חיי אדם,181
מאה שערים,336,חסד לאברהם,178
מאה שערים,336,ישועות יעקב,169
מאה שערים,336,ישעיהו,349
מאה שערים,336,לוי יצחק מברדיצ'ב,251
מאה שערים,336,לייב דיין,142
מאה שערים,336,מאה שערים,162
מאה שערים,336,נחום איש גמזו,177
מאה שערים,336,נחמן מברסלב,199
מאה שערים,336,נתן שטראוס,350
מאה שערים,336,סימה בליליוס,351
מאה שערים,336,עבודת ישראל,219
מאה שערים,336,עונג שבת,172
מאה שערים,336,עין יעקב,164
מאה שערים,336,שלמה זלמן בהר''ן,180
מורשה,344,אלישע,510
מורשה,344,דניאל,507
מורשה,344,החומה השלישית,511
מורשה,344,הלני המלכה,404
מורשה,344,הנביאים,348
מורשה,344,הע''ח,506
מורשה,344,הצנחנים,525
מורשה,344,השער החדש,4061
מורשה,344,חולדה הנביאה,509
מורשה,344,חיל ההנדסה,4110
מורשה,344,יחיא אדהאן,521
מורשה,344,כ''ץ,524
מורשה,344,כיכר ספרא,6019
מורשה,344,מנהרת הצנחנים, 
מורשה,344,משמרות,505
מורשה,344,נעמי קיס,4397
מורשה,344,נתן הנביא,508
מורשה,344,סולטאן סולימאן,4275
מורשה,344,עופר מנשס, 
מורשה,344,עידו הנביא,512
מורשה,344,שבטי ישראל,501
מורשה,344,שמואל הנביא,116
מחנה יהודה - ל,368,אגריפס,613
מחנה יהודה - ל,368,אהרון מזי''א,428
מחנה יהודה - ל,368,אוהל משה,680
מחנה יהודה - ל,368,אילת,669
מחנה יהודה - ל,368,אליהו יעקב בנאי,615
מחנה יהודה - ל,368,אליהו מני,625
מחנה יהודה - ל,368,אליהו סלמן,640
מחנה יהודה - ל,368,אליעזר וחמדה בן י,426
מחנה יהודה - ל,368,ארבעת המינים,857
מחנה יהודה - ל,368,ארנון,633
מחנה יהודה - ל,368,באר שבע,654
מחנה יהודה - ל,368,ביבאס,685
מחנה יהודה - ל,368,בירב,731
מחנה יהודה - ל,368,בית יעקב,622
מחנה יהודה - ל,368,בית כי''ח, 
מחנה יהודה - ל,368,בית צור,673
מחנה יהודה - ל,368,בן נריה,700
מחנה יהודה - ל,368,בצלאל,643
מחנה יהודה - ל,368,גבע,655
מחנה יהודה - ל,368,גבעון,663
מחנה יהודה - ל,368,גזר,672
מחנה יהודה - ל,368,דביר,670
מחנה יהודה - ל,368,דוד ילין,376
מחנה יהודה - ל,368,דלתון,662
מחנה יהודה - ל,368,האגוז,626
מחנה יהודה - ל,368,האפרסק,627
מחנה יהודה - ל,368,הארז,730
מחנה יהודה - ל,368,האשכול,619
מחנה יהודה - ל,368,הגלבוע,679
מחנה יהודה - ל,368,הגליל,648
מחנה יהודה - ל,368,הדיה,634
מחנה יהודה - ל,368,החרמון,653
מחנה יהודה - ל,368,היבוק,637
מחנה יהודה - ל,368,הירמוך,636
מחנה יהודה - ל,368,הכרמל,676
מחנה יהודה - ל,368,הלבנון,702
מחנה יהודה - ל,368,הנביאים,348
מחנה יהודה - ל,368,הנצי''ב,691
מחנה יהודה - ל,368,הערמונים,628
מחנה יהודה - ל,368,הרב חיים אבולעפי,686
מחנה יהודה - ל,368,הרב יצחק אורנשטי,382
מחנה יהודה - ל,368,הרב יצחק בראשי, 
מחנה יהודה - ל,368,הרב שלוש,1532
מחנה יהודה - ל,368,הרב שמואל ברוך,616
מחנה יהודה - ל,368,השזיף,629
מחנה יהודה - ל,368,השיקמה,620
מחנה יהודה - ל,368,השקד,623
מחנה יהודה - ל,368,התות,630
מחנה יהודה - ל,368,התפוח,631
מחנה יהודה - ל,368,זכרון טוביה,675
מחנה יהודה - ל,368,חיים ולירו,605
מחנה יהודה - ל,368,חכם שלום,642
מחנה יהודה - ל,368,חלחול,674
מחנה יהודה - ל,368,חניון שומרון, 
מחנה יהודה - ל,368,חניון שוקניון אג, 
מחנה יהודה - ל,368,חצור,649
מחנה יהודה - ל,368,יהודית,347
מחנה יהודה - ל,368,יוסף בן מתתיהו,322
מחנה יהודה - ל,368,יוסף חיים,664
מחנה יהודה - ל,368,יוסף שוורץ,608
מחנה יהודה - ל,368,יזרעאל,697
מחנה יהודה - ל,368,יפו,612
מחנה יהודה - ל,368,כורזין,644
מחנה יהודה - ל,368,כי''ח,618
מחנה יהודה - ל,368,כפר ברעם,646
מחנה יהודה - ל,368,לכיש,666
מחנה יהודה - ל,368,מזכרת משה,678
מחנה יהודה - ל,368,מחנה יהודה,6571
מחנה יהודה - ל,368,מיוחס,606
מחנה יהודה - ל,368,מיכאל וציפורה פי,345
מחנה יהודה - ל,368,מסילת ישרים,689
מחנה יהודה - ל,368,מעון,671
מחנה יהודה - ל,368,מצפה,656
מחנה יהודה - ל,368,משה דוד גאון,609
מחנה יהודה - ל,368,משכנות,688
מחנה יהודה - ל,368,נהר פרת,641
מחנה יהודה - ל,368,נוב,658
מחנה יהודה - ל,368,נסים בכר,638
מחנה יהודה - ל,368,סוכת שלום,690
מחנה יהודה - ל,368,עובדיה סומך,667
מחנה יהודה - ל,368,עזרא רפאל,677
מחנה יהודה - ל,368,עיניים למשפט,683
מחנה יהודה - ל,368,ענתות,661
מחנה יהודה - ל,368,עץ חיים,617
מחנה יהודה - ל,368,פרי העץ,856
מחנה יהודה - ל,368,צוער,665
מחנה יהודה - ל,368,רבי אריה,684
מחנה יהודה - ל,368,רמה,660
מחנה יהודה - ל,368,שבת צדק,632
מחנה יהודה - ל,368,שדרות בן צבי,733
מחנה יהודה - ל,368,שדרות שז''ר,970
מחנה יהודה - ל,368,שומרון,682
מחנה יהודה - ל,368,שילה,657
מחנה יהודה - ל,368,שיריזלי,741
מחנה יהודה - ל,368,שערי צדק,603
מחנה יהודה - ל,368,שפת אמת,607
מחנה יהודה - ל,368,תבור,701
מחנה יהודה - ל,368,תחכמוני,321
מחנה יהודה - ל,368,תקוע,668
מחנה שועפט,652,ראס ח'מיס,4624
מי נפתוח – לי,380,יציאה למחלף גבעת, 
מי נפתוח – לי,380,יציאה לשדרות בן ג, 
מי נפתוח – לי,380,מגיני ירושלים,901
מי נפתוח – לי,380,נפתוח, 
מי נפתוח – לי,380,שדרות בן גוריון,941
מי נפתוח – לי,380,שדרות וייצמן,1077
מי נפתוח – לי,380,שדרות מנחם בגין,1105
מי נפתוח – לי,380,שערי ירושלים,899
ממילא,392,אליהו שמאע,515
ממילא,392,אלימלך אדמוני,1534
ממילא,392,בן סירא,408
ממילא,392,גרשון אגרון,1522
ממילא,392,דוד המלך,1528
ממילא,392,דוד רמז,1868
ממילא,392,דרך בית לחם,1753
ממילא,392,דרך חברון,1714
ממילא,392,הבריכה,1709
ממילא,392,היינריך היינה,1702
ממילא,392,המגדל,1706
ממילא,392,הצייר יעקב שטיינ,1845
ממילא,392,הצנחנים,525
ממילא,392,התקווה,1703
ממילא,392,זאב ז'בוטינסקי,1514
ממילא,392,חטיבת ירושלים,1833
ממילא,392,חטיבת עציוני,4094
ממילא,392,חניון ממילא, 
ממילא,392,חניון קרתא, 
ממילא,392,ימין משה,1701
ממילא,392,יפה עיניים,529
ממילא,392,יפו,612
ממילא,392,יצחק קריב,514
ממילא,392,ישמח מלך,531
ממילא,392,כורש,409
ממילא,392,מיטיב נגן,526
ממילא,392,מנהרת הצנחנים, 
ממילא,392,משכנות שאננים,6761
ממילא,392,נאות דשא,533
ממילא,392,נעים זמירות,530
ממילא,392,עומר בן אל ח'טאב,6020
ממילא,392,פול אמיל בוטה,1530
ממילא,392,פלט,1866
ממילא,392,קרן היסוד,1508
ממילא,392,רועה צאן,528
ממילא,392,ש.א. נכון,1849
ממילא,392,שבטי ישראל,501
ממילא,392,שדרות בלומפילד,1852
ממילא,392,שלומציון המלכה,450
ממילא,392,שלמה המלך,513
מנחת - מלחה,396,גולומב,1307
מנחת - מלחה,396,דב יוסף,1435
מנחת - מלחה,396,דוד איילון,1453
מנחת - מלחה,396,דרך אגודת ספורט ב,1451
מנחת - מלחה,396,דרך אגודת ספורט ה,1452
מנחת - מלחה,396,דרך אגודת ספורט מ,1455
מנחת - מלחה,396,דרך אהרן שולוב,1460
מנחת - מלחה,396,דרך דוד בנבנישתי,1362
מנחת - מלחה,396,דרך חיים ע. קוליץ,1252
מנחת - מלחה,396,דרך יצחק מודעי,1346
מנחת - מלחה,396,האייל,1352
מנחת - מלחה,396,הגן הטכנולוגי, 
מנחת - מלחה,396,הדב,1356
מנחת - מלחה,396,הדישון,1351
מנחת - מלחה,396,היען,1456
מנחת - מלחה,396,הכפיר,1354
מנחת - מלחה,396,הנחש, 
מנחת - מלחה,396,הנמר,1457
מנחת - מלחה,396,השועל,1458
מנחת - מלחה,396,חכם אברהם,1281
מנחת - מלחה,396,חנוך קלעי,1336
מנחת - מלחה,396,חניון קניון ירוש, 
מנחת - מלחה,396,יובב,1908
מנחת - מלחה,396,יציאה לדרך אגודת, 
מנחת - מלחה,396,יציאת אירופה,3042
מנחת - מלחה,396,מעלות אייל, 
מנחת - מלחה,396,מעלות הרב נוריאל,1909
מנחת - מלחה,396,משה שרת,1368
מנחת - מלחה,396,עמשא,1910
מנחת - מלחה,396,ערד,3044
מנחת - מלחה,396,פטריה,3043
מנחת - מלחה,396,קדושי סטרומה,1350
מנחת - מלחה,396,קניון ירושלים מל, 
מנחת - מלחה,396,רקם,3041
מעלות דפנה,408,ויליאם אולברייט,3036
מעלות דפנה,408,חניון גבעת התחמו, 
מעלות דפנה,408,מח''ל,4351
מעלות דפנה,408,מנהרת לוי אשכול, 
מעלות דפנה,408,מקווה ישראל,4318
מעלות דפנה,408,סוקניק,3040
מעלות דפנה,408,קלרמון גאנו,4601
מעלות דפנה,408,קרל נטר,4317
מעלות דפנה,408,שדרות חיים ברלב,4113
מעלות דפנה,408,שדרות יוסף שני,4379
מעלות דפנה,408,שדרות יצחק פניגר,4378
מעלות דפנה,408,שדרות לוי אשכול,4276
מעלות דפנה,408,שלמה זלמן שרגאי,4287
מעלות דפנה,408,שמעון הצדיק,235
מעלות דפנה,408,ששת הימים,4283
מקור ברוך,416,אבו באסל, 
מקור ברוך,416,אוהל שלמה,602
מקור ברוך,416,אליהו מני,625
מקור ברוך,416,אלעזר המכבי,339
מקור ברוך,416,אלפנדרי,332
מקור ברוך,416,ארבל,324
מקור ברוך,416,ביבאס,685
מקור ברוך,416,בית יעקב,622
מקור ברוך,416,בר גיורא,333
מקור ברוך,416,גיטל דינוביץ,736
מקור ברוך,416,גשר החיים,385
מקור ברוך,416,דוד אבישר,735
מקור ברוך,416,דוד ילין,376
מקור ברוך,416,דון יוסף נשיא,335
מקור ברוך,416,הדקל,621
מקור ברוך,416,הזית,337
מקור ברוך,416,החשמונאים,338
מקור ברוך,416,הטורים,336
מקור ברוך,416,הרב משה זאב פלדמן, 
מקור ברוך,416,הרב שבתאי עלוואן,737
מקור ברוך,416,הרב שמואל ברוך,616
מקור ברוך,416,השיקמה,620
מקור ברוך,416,חיים ולירו,605
מקור ברוך,416,חניון שוקניון אג, 
מקור ברוך,416,יהודה המכבי,341
מקור ברוך,416,יוסף בן מתתיהו,322
מקור ברוך,416,יפו,612
מקור ברוך,416,ירמיהו,937
מקור ברוך,416,כינרת,325
מקור ברוך,416,כפר נחום,327
מקור ברוך,416,לואיס ברנדייס,320
מקור ברוך,416,למפרונטי,913
מקור ברוך,416,מודיעין,323
מקור ברוך,416,מזור,734
מקור ברוך,416,מיוחס,606
מקור ברוך,416,מירון,331
מקור ברוך,416,מלכי ישראל,305
מקור ברוך,416,מנחם,329
מקור ברוך,416,מנחת יצחק,4907
מקור ברוך,416,מרדכי צבי אילן,326
מקור ברוך,416,משה דוד גאון,609
מקור ברוך,416,משה ולאך,912
מקור ברוך,416,נבון,610
מקור ברוך,416,נורדאו,959
מקור ברוך,416,נתיב יצחק,738
מקור ברוך,416,פקיעין,330
מקור ברוך,416,קב ונקי,386
מקור ברוך,416,רש''י,328
מקור ברוך,416,רשב''ם,334
מקור ברוך,416,שבת צדק,632
מקור ברוך,416,שד''ל,604
מקור ברוך,416,שדרות שז''ר,970
מקור ברוך,416,שדרות שרי ישראל,340
מקור ברוך,416,שמגר,907
מקור ברוך,416,שמעון המכבי,342
מקור ברוך,416,שערי צדק,603
מקור ברוך,416,שפת אמת,607
מקור ברוך,416,תחכמוני,321
מקור ברוך,416,תשב''ץ,732
מקור חיים,420,אביטל,1796
מקור חיים,420,אשר,1789
מקור חיים,420,גנרל פייר קניג,1787
מקור חיים,420,דרך הרכבת,1767
מקור חיים,420,המוסכים,1793
מקור חיים,420,הפרסה,1860
מקור חיים,420,הרכבים,1797
מקור חיים,420,חלץ,1827
מקור חיים,420,יעקב בן דב,1432
מקור חיים,420,מקור חיים,1794
מקור חיים,420,צרת,1795
מרכז העיר,400,אבן ישראל,430
מרכז העיר,400,אגריפס,613
מרכז העיר,400,אהרון מזי''א,428
מרכז העיר,400,אליעזר וחמדה בן י,426
מרכז העיר,400,אליעזר ריבלין,469
מרכז העיר,400,אלישע,510
מרכז העיר,400,אנג'לו לוי ביאנקי,471
מרכז העיר,400,אריסטובולוס,419
מרכז העיר,400,אתיופיה,402
מרכז העיר,400,בארי,447
מרכז העיר,400,בן הלל,435
מרכז העיר,400,בן סירא,408
מרכז העיר,400,בני ברית,403
מרכז העיר,400,בצלאל,643
מרכז העיר,400,גרוזנברג,461
מרכז העיר,400,גרשון אגרון,1522
מרכז העיר,400,דו נואס,420
מרכז העיר,400,דורות ראשונים,439
מרכז העיר,400,דרום,465
מרכז העיר,400,ההסתדרות,434
מרכז העיר,400,החבצלת,415
מרכז העיר,400,הלל,432
מרכז העיר,400,הלני המלכה,404
מרכז העיר,400,המלך ג'ורג',429
מרכז העיר,400,המעלות,448
מרכז העיר,400,המערבים,1533
מרכז העיר,400,הנביאים,348
מרכז העיר,400,הסורג,468
מרכז העיר,400,הצנחנים,525
מרכז העיר,400,הקרן הקיימת לישר,801
מרכז העיר,400,הרב אבידע,463
מרכז העיר,400,הרב אג''ן,424
מרכז העיר,400,הרב קוק,421
מרכז העיר,400,הרברט סמואל,437
מרכז העיר,400,זאב רבן,744
מרכז העיר,400,זמנהוף,1525
מרכז העיר,400,חניון אוריון, 
מרכז העיר,400,חניון הלני המלכה, 
מרכז העיר,400,חניון המעלות, 
מרכז העיר,400,חניון כיכר ספרא, 
מרכז העיר,400,חניון מגרש הרוסי, 
מרכז העיר,400,חניון מרכז ירושל, 
מרכז העיר,400,חניון שמאי 10, 
מרכז העיר,400,טיכו,455
מרכז העיר,400,יואל משה סלומון,442
מרכז העיר,400,יוחנן הורקנוס,416
מרכז העיר,400,יוחנן מגוש חלב,413
מרכז העיר,400,יוסף טרומפלדור,452
מרכז העיר,400,יוסף ריבלין,441
מרכז העיר,400,ינאי,414
מרכז העיר,400,יעבץ,438
מרכז העיר,400,יפו,612
מרכז העיר,400,יצחק אלישר,418
מרכז העיר,400,יצחק קריב,514
מרכז העיר,400,ישראל זמורה,467
מרכז העיר,400,כורש,409
מרכז העיר,400,כי''ח,618
מרכז העיר,400,כיכר ספרא,6019
מרכז העיר,400,לונץ,440
מרכז העיר,400,מאיר שחם,453
מרכז העיר,400,מבוא אריה לייב הו, 
מרכז העיר,400,מבוא בן ברוך,462
מרכז העיר,400,מבוא בנימין סלנט,2504
מרכז העיר,400,מבוא המתמיד,449
מרכז העיר,400,מבוא הרב ביצ'אצו,478
מרכז העיר,400,מבוא הרב חיים אלב,2101
מרכז העיר,400,מבוא חיים הלוי קו,2501
מרכז העיר,400,מבוא יהושוע ילין, 
מרכז העיר,400,מונבז,405
מרכז העיר,400,מיכאל וציפורה פי,345
מרכז העיר,400,מנשה בן ישראל,459
מרכז העיר,400,מסילת ישרים,689
מרכז העיר,400,מעבר בית הכנסת,473
מרכז העיר,400,מעלות נחלת שבעה,444
מרכז העיר,400,מרדכי נרקיס,703
מרכז העיר,400,מרדכי עליאש,431
מרכז העיר,400,משיח ברוכוף,624
מרכז העיר,400,משעול הגבורה,476
מרכז העיר,400,נתיב הרכבל, 
מרכז העיר,400,נתן שטראוס,350
מרכז העיר,400,עוזי (יחזקאל) חסו,412
מרכז העיר,400,עזרת ישראל,425
מרכז העיר,400,פרומקין,417
מרכז העיר,400,קרן היסוד,1508
מרכז העיר,400,ראול ולנברג,517
מרכז העיר,400,רבי עקיבא,445
מרכז העיר,400,רבקה סטוינובסקי,479
מרכז העיר,400,ש''ץ,446
מרכז העיר,400,שבטי ישראל,501
מרכז העיר,400,שבתאי פטרושקה,406
מרכז העיר,400,שדרות בן מיימון,807
מרכז העיר,400,שושן,410
מרכז העיר,400,שלומציון המלכה,450
מרכז העיר,400,שלמה המלך,513
מרכז העיר,400,שמאי,436
מרכז העיר,400,שמואל הנגיד,427
מרכז העיר,400,שמואל רפאלי,705
מרכז העיר,400,שמעון בן שטח,407
מרכז העיר,400,שניאור חשין,460
מרכז העיר מזר,404,דלמן,211
מרכז העיר מזר,404,דרך שכם,4162
מרכז העיר מזר,404,הכלדיים,4095
מרכז העיר מזר,404,הנביאים,348
מרכז העיר מזר,404,חיל ההנדסה,4110
מרכז העיר מזר,404,מנהרת הצנחנים, 
מרכז העיר מזר,404,נבי שועיב,4622
מרכז העיר מזר,404,נעמי קיס,4397
מרכז העיר מזר,404,סולטאן סולימאן,4275
מרכז העיר מזר,404,סלאח א דין,4100
מרכז העיר מזר,404,סנט ג'ורג',4307
מרכז העיר מזר,404,עופר מנשס, 
מרכז העיר מזר,404,עלי אבן אבו טאלב,4196
מרכז העיר מזר,404,עמר בן אלעס,4175
מרכז העיר מזר,404,ענטרה בן שדאד,4425
מרכז העיר מזר,404,פייר ואן פאסן,4286
מרכז העיר מזר,404,פיירוטי,4610
מרכז העיר מזר,404,פיקוד המרכז,4170
מרכז העיר מזר,404,קונדר,217
מרכז העיר מזר,404,קונרד שיק,4614
מרכז העיר מזר,404,שדרות חיים ברלב,4113
מרכז רפואי הד,750,386, 
מרכז רפואי הד,750,396, 
מרכז רפואי הד,750,האוניברסיטה העבר, 
מרכז רפואי הד,750,קלמן יעקב מן, 
נוה יעקב,428,אבא אחימאיר,3002
נוה יעקב,428,אביר יעקב,3015
נוה יעקב,428,אדמונד פלג,4348
נוה יעקב,428,אוצר הגאונים,5021
נוה יעקב,428,אליעזר ליבנה,3008
נוה יעקב,428,אסטורה,5001
נוה יעקב,428,אשר גולאק,4343
נוה יעקב,428,ברוך צוקרמן,3005
נוה יעקב,428,ג'עפר א סאדק,4696
נוה יעקב,428,דוד אלעזר,4648
נוה יעקב,428,דרך בית חנינא,4106
נוה יעקב,428,דרך רמאללה,4128
נוה יעקב,428,הרב וינוגרד,3016
נוה יעקב,428,הרב משה שאולי כהן,5003
נוה יעקב,428,הרב פנחס א.וסרמן, 
נוה יעקב,428,הרב פניז'ל,3006
נוה יעקב,428,הרב ש''י זווין,3014
נוה יעקב,428,הרב שלמה יוסף אלי,3017
נוה יעקב,428,הרב שמואל גדליה נ,3013
נוה יעקב,428,ויקטור ויוליוס,3010
נוה יעקב,428,יצחק טבנקין,3003
נוה יעקב,428,ישראל פונט,5002
נוה יעקב,428,כף החיים,1818
נוה יעקב,428,כפר עברי,3011
נוה יעקב,428,לאה גולדברג,4345
נוה יעקב,428,לוי יעקב,9000
נוה יעקב,428,מאיר בלבן,4341
נוה יעקב,428,מבוא דב בר יקר,3004
נוה יעקב,428,מזל טלה,4793
נוה יעקב,428,מעגלות הרב פרדס,4342
נוה יעקב,428,משה סנה,3007
נוה יעקב,428,נחום שאדיקר,3012
נוה יעקב,428,פ.צ. חיות,4344
נוה יעקב,428,צ'רלס לוץ,3009
נוה יעקב,428,ראובן גמזון,4346
נוה יעקב,428,שביל שפן הסלע, 
נוה יעקב,428,שדרות נווה יעקב,3001
נוה יעקב,428,שמחה הולצברג,4860
נחלאות שערי,444,אבן ספיר,652
נחלאות שערי,444,אבן שפרוט,726
נחלאות שערי,444,אושה,711
נחלאות שערי,444,אליעזר וחמדה בן י,426
נחלאות שערי,444,אנטוקולסקי,742
נחלאות שערי,444,בצלאל,643
נחלאות שערי,444,גבע,655
נחלאות שערי,444,דיסקין,728
נחלאות שערי,444,הגאונים,727
נחלאות שערי,444,הגליל,648
נחלאות שערי,444,הגר''א,716
נחלאות שערי,444,הירשנברג,715
נחלאות שערי,444,המדרגות,651
נחלאות שערי,444,הנצי''ב,691
נחלאות שערי,444,הקליר,724
נחלאות שערי,444,הקרן הקיימת לישר,801
נחלאות שערי,444,הר''ן,805
נחלאות שערי,444,הרב שלום שבזי,709
נחלאות שערי,444,השל''ה,721
נחלאות שערי,444,חצור,649
נחלאות שערי,444,חת''ם סופר,725
נחלאות שערי,444,טבריה,704
נחלאות שערי,444,יוסף טרומפלדור,452
נחלאות שערי,444,יראון,647
נחלאות שערי,444,ישעיהו בר זכאי,729
נחלאות שערי,444,ישראל'ס,718
נחלאות שערי,444,כהנוב,720
נחלאות שערי,444,כורזין,644
נחלאות שערי,444,כפר ברעם,646
נחלאות שערי,444,לוד,710
נחלאות שערי,444,מבוא יזהר,713
נחלאות שערי,444,מנורה,451
נחלאות שערי,444,מנחם אוסישקין,714
נחלאות שערי,444,מעלות הרב חיים ער,712
נחלאות שערי,444,מרדכי נרקיס,703
נחלאות שערי,444,נהר פרת,641
נחלאות שערי,444,נחלת צדוק,719
נחלאות שערי,444,נרבתה,650
נחלאות שערי,444,עלמא,645
נחלאות שערי,444,ענתבי,717
נחלאות שערי,444,פרוש,723
נחלאות שערי,444,ציפורי,708
נחלאות שערי,444,צפת,707
נחלאות שערי,444,שדרות בן צבי,733
נחלאות שערי,444,שילה,657
נחלאות שערי,444,שמואל רפאלי,705
נחלאות שערי,444,שערי חסד,722
נחלאות שערי,444,שפרעם,706
ניות,432,אברהם גרנות,1111
ניות,432,אלזה,1120
ניות,432,בצלאל בזק,1132
ניות,432,דוידזון,1112
ניות,432,הרב הרצוג,1422
ניות,432,זלמן שניאור,1127
ניות,432,י.צ. מיכאלסון,1113
ניות,432,יהודה בורלא,1116
ניות,432,יהושע ייבין,1130
ניות,432,יצחק שמי,1119
ניות,432,ליליין,960
ניות,432,נווה שאנן,1166
ניות,432,נחמן אביגד,4586
ניות,432,ניות,6646
ניות,432,שדרות חיים הזז,998
ניות,432,שותא רוסתבלי, 
סילואן,320,דרך השילוח,3800
סילואן,320,דרך יריחו,4146
סילואן,320,מעלה יואב, 
סילואן,320,מעלות עיר דוד,4375
סנהדריה,472,א.ש. הרטום,5503
סנהדריה,472,אופירה,253
סנהדריה,472,אוריאל,183
סנהדריה,472,אחינועם,112
סנהדריה,472,אלעשה,110
סנהדריה,472,ארץ חפץ,236
סנהדריה,472,בן ציון אטון,241
סנהדריה,472,בר אילן,301
סנהדריה,472,גבעת משה,2052
סנהדריה,472,האדמו''רים ליינער,203
סנהדריה,472,האדמו''רים מגור,3030
סנהדריה,472,הסנהדרין,210
סנהדריה,472,הרא''ם,102
סנהדריה,472,הרב בלוי,107
סנהדריה,472,הרב יצחק פלקסר,5533
סנהדריה,472,חטיבת הראל,248
סנהדריה,472,חכם עזרא עטיה,242
סנהדריה,472,יגאל ידין,4773
סנהדריה,472,ים סוף,4279
סנהדריה,472,מבוא האדמו''ר מבע,3031
סנהדריה,472,מבוא האדמו''ר מוי,3032
סנהדריה,472,מבוא הרב יהודה פת,3028
סנהדריה,472,מבוא השלום והאחד,3027
סנהדריה,472,מבוא רבי בן ציון,3029
סנהדריה,472,מיכל,111
סנהדריה,472,מעגלי הרי''ם לוין,3026
סנהדריה,472,מעלות דושינסקי,3033
סנהדריה,472,רבי שלמה זלמן דרו,4950
סנהדריה,472,שאול המלך,106
סנהדריה,472,שדרות גולדה מאיר,4452
סנהדריה,472,שדרות לוי אשכול,4276
סנהדריה,472,שמואל הנביא,116
סנהדריה,472,שפע חיים,398
עיד דוד,508,בתי מחסה,4361
עיד דוד,508,גיא בן הינום, 
עיד דוד,508,דרך העופל,4339
עיד דוד,508,דרך השילוח,3800
עיד דוד,508,המשעול האחרון,4290
עיד דוד,508,ואדי חילווה,4252
עיד דוד,508,חטיבת עציוני,4094
עיד דוד,508,חניון גבעתי, 
עיד דוד,508,מלכי צדק,4269
עיד דוד,508,מעלה השלום,4512
עיד דוד,508,מעלה יואב, 
עיד דוד,508,מעלות עיר דוד,4375
עין כרם,488,386, 
עין כרם,488,395, 
עין כרם,488,3877, 
עין כרם,488,אמא שלום,1464
עין כרם,488,גבעת היונים,1465
עין כרם,488,דוד מרדכי מאיר,1904
עין כרם,488,דרך בנימינה,1466
עין כרם,488,דרך האחיות,1469
עין כרם,488,דרך האילנות,1493
עין כרם,488,דרך החשמונאים, 
עין כרם,488,דרך הסלע,1467
עין כרם,488,דרך התצפית,1470
עין כרם,488,דרך ישראל שוכמן,1019
עין כרם,488,דרך כרמית,1218
עין כרם,488,דרך רומית, 
עין כרם,488,דרך שורק,1468
עין כרם,488,האורן,1376
עין כרם,488,הבאר,1483
עין כרם,488,הגבעה,1482
עין כרם,488,הדפנה,1378
עין כרם,488,ההדסים,1379
עין כרם,488,המעיין,1380
עין כרם,488,הנרייטה סולד,1215
עין כרם,488,העטלף,1494
עין כרם,488,הקשתות,5595
עין כרם,488,השיבולים,1492
עין כרם,488,חומת הצלפים,1471
עין כרם,488,מבוא השער,1477
עין כרם,488,מדרגות גן עדן,1474
עין כרם,488,מדרגות הביקור,1476
עין כרם,488,מדרגות הבציר,1480
עין כרם,488,מדרגות הכפר,1472
עין כרם,488,מדרגות הרומאים,1478
עין כרם,488,מעגל הניקבה,1475
עין כרם,488,מעלה האכסניה,1272
עין כרם,488,מעלה הבוסתן,1479
עין כרם,488,מקסיקו,1250
עין כרם,488,סמטת היין,1486
עין כרם,488,סמטת היקב,1485
עין כרם,488,סמטת המעיין, 
עין כרם,488,סמטת העורב,1484
עין כרם,488,סמטת הצפצפה,1481
עין כרם,488,עין כרם,1401
עין כרם,488,עמנואל אולסבנגר,1299
עין כרם,488,עמק התימנים,1487
עין כרם,488,פנמה,1278
עין כרם,488,פסח חברוני,1277
עין כרם,488,צוקי הישועה,1488
עין כרם,488,קלמן יעקב מן, 
עין כרם,488,שאול ברקלי,4476
עין כרם,488,שביל החומה,1490
עין כרם,488,שביל הצופית,1491
עין כרם,488,שביל הצוקים,1489
עיסאוויה,44,1, 
עיסאוויה,44,א זערורה, 
עיסאוויה,44,אבו ריאלה,4724
עיסאוויה,44,אום אל עצאפיר,4708
עיסאוויה,44,אחמד אסעד דארי, 
עיסאוויה,44,אחמד עלי,4750
עיסאוויה,44,אל בוסתאן,4761
עיסאוויה,44,אל ביאדר,4916
עיסאוויה,44,אל ח'לוד, 
עיסאוויה,44,אל חיאה, 
עיסאוויה,44,אל חיג'אר, 
עיסאוויה,44,אל חראיק,4838
עיסאוויה,44,אל מג'ד, 
עיסאוויה,44,אל מדארס, 
